tpep_pickup_date,hour_pickup,count,day_of_week,month_bin,pickup_bin
2022-02-01,16,5725,1,1,2
2022-02-01,17,6671,1,1,2
2022-02-01,18,7567,1,1,2
2022-02-01,19,6408,1,1,3
2022-02-01,20,4748,1,1,3
2022-02-01,21,4679,1,1,3
2022-02-01,22,4052,1,1,3
2022-02-01,23,2172,1,1,3
2022-02-02,0,1288,2,1,0
2022-02-02,1,602,2,1,0
2022-02-02,2,405,2,1,0
2022-02-02,3,242,2,1,0
2022-02-02,4,205,2,1,0
2022-02-02,5,548,2,1,0
2022-02-02,6,1766,2,1,0
2022-02-02,7,3652,2,1,1
2022-02-02,8,4403,2,1,1
2022-02-02,9,4320,2,1,1
